GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLKGRPA,GEOID,NAME,Total,black,white,asian,nhpi,aian,two_more,not_hispanic,hispanic
G26000100001001,2016-2020,MI,Michigan,26,Alcona County,1,100,1,15000US260010001001,"Block Group 1, Census Tract 1, Alcona County, Michigan",715,4,689,0,0,0,22,710,5
G26000100001002,2016-2020,MI,Michigan,26,Alcona County,1,100,2,15000US260010001002,"Block Group 2, Census Tract 1, Alcona County, Michigan",987,0,969,0,0,0,18,981,6
G26000109701001,2016-2020,MI,Michigan,26,Alcona County,1,970100,1,15000US260019701001,"Block Group 1, Census Tract 9701, Alcona County, Michigan",1076,0,1048,17,0,0,11,1069,7
G26000109701002,2016-2020,MI,Michigan,26,Alcona County,1,970100,2,15000US260019701002,"Block Group 2, Census Tract 9701, Alcona County, Michigan",1410,7,1344,5,0,17,37,1366,44
G26000109704001,2016-2020,MI,Michigan,26,Alcona County,1,970400,1,15000US260019704001,"Block Group 1, Census Tract 9704, Alcona County, Michigan",1314,8,1271,0,0,7,23,1293,21
G26000109704002,2016-2020,MI,Michigan,26,Alcona County,1,970400,2,15000US260019704002,"Block Group 2, Census Tract 9704, Alcona County, Michigan",1522,13,1445,3,2,34,9,1478,44
G26000109705001,2016-2020,MI,Michigan,26,Alcona County,1,970500,1,15000US260019705001,"Block Group 1, Census Tract 9705, Alcona County, Michigan",650,0,624,11,0,3,12,650,0
G26000109705002,2016-2020,MI,Michigan,26,Alcona County,1,970500,2,15000US260019705002,"Block Group 2, Census Tract 9705, Alcona County, Michigan",512,0,485,0,0,0,6,485,27
G26000109705003,2016-2020,MI,Michigan,26,Alcona County,1,970500,3,15000US260019705003,"Block Group 3, Census Tract 9705, Alcona County, Michigan",822,0,805,0,0,9,8,817,5
G26000109706001,2016-2020,MI,Michigan,26,Alcona County,1,970600,1,15000US260019706001,"Block Group 1, Census Tract 9706, Alcona County, Michigan",780,5,763,0,0,0,5,773,7
G26000109706002,2016-2020,MI,Michigan,26,Alcona County,1,970600,2,15000US260019706002,"Block Group 2, Census Tract 9706, Alcona County, Michigan",608,7,584,0,0,3,14,608,0
G26000109900000,2016-2020,MI,Michigan,26,Alcona County,1,990000,0,15000US260019900000,"Block Group 0, Census Tract 9900, Alcona County, Michigan",0,0,0,0,0,0,0,0,0
G26000300001001,2016-2020,MI,Michigan,26,Alger County,3,100,1,15000US260030001001,"Block Group 1, Census Tract 1, Alger County, Michigan",1156,19,1077,4,0,13,43,1150,6
G26000300001002,2016-2020,MI,Michigan,26,Alger County,3,100,2,15000US260030001002,"Block Group 2, Census Tract 1, Alger County, Michigan",1434,0,1261,15,0,83,73,1399,35
G26000300001003,2016-2020,MI,Michigan,26,Alger County,3,100,3,15000US260030001003,"Block Group 3, Census Tract 1, Alger County, Michigan",833,0,778,0,0,41,14,826,7
G26000300002001,2016-2020,MI,Michigan,26,Alger County,3,200,1,15000US260030002001,"Block Group 1, Census Tract 2, Alger County, Michigan",1158,18,1001,0,0,22,77,1095,63
G26000300002002,2016-2020,MI,Michigan,26,Alger County,3,200,2,15000US260030002002,"Block Group 2, Census Tract 2, Alger County, Michigan",1392,12,1161,4,0,185,30,1381,11
G26000300003001,2016-2020,MI,Michigan,26,Alger County,3,300,1,15000US260030003001,"Block Group 1, Census Tract 3, Alger County, Michigan",1281,0,1241,0,0,5,35,1280,1
G26000300003002,2016-2020,MI,Michigan,26,Alger County,3,300,2,15000US260030003002,"Block Group 2, Census Tract 3, Alger County, Michigan",1844,583,1139,48,0,10,64,1814,30
G26000309900000,2016-2020,MI,Michigan,26,Alger County,3,990000,0,15000US260039900000,"Block Group 0, Census Tract 9900, Alger County, Michigan",0,0,0,0,0,0,0,0,0
G26000500302001,2016-2020,MI,Michigan,26,Allegan County,5,30200,1,15000US260050302001,"Block Group 1, Census Tract 302, Allegan County, Michigan",1192,0,1162,12,0,0,5,1155,37
G26000500302002,2016-2020,MI,Michigan,26,Allegan County,5,30200,2,15000US260050302002,"Block Group 2, Census Tract 302, Allegan County, Michigan",1215,47,1027,110,0,0,0,1171,44
G26000500302003,2016-2020,MI,Michigan,26,Allegan County,5,30200,3,15000US260050302003,"Block Group 3, Census Tract 302, Allegan County, Michigan",853,15,838,0,0,0,0,831,22
G26000500303011,2016-2020,MI,Michigan,26,Allegan County,5,30301,1,15000US260050303011,"Block Group 1, Census Tract 303.01, Allegan County, Michigan",1804,0,1798,0,0,0,6,1775,29
G26000500303012,2016-2020,MI,Michigan,26,Allegan County,5,30301,2,15000US260050303012,"Block Group 2, Census Tract 303.01, Allegan County, Michigan",1183,0,1174,0,0,0,7,1157,26
G26000500303021,2016-2020,MI,Michigan,26,Allegan County,5,30302,1,15000US260050303021,"Block Group 1, Census Tract 303.02, Allegan County, Michigan",2973,2,2924,0,0,0,47,2973,0
G26000500303022,2016-2020,MI,Michigan,26,Allegan County,5,30302,2,15000US260050303022,"Block Group 2, Census Tract 303.02, Allegan County, Michigan",1919,0,1892,0,0,0,0,1826,93
G26000500304021,2016-2020,MI,Michigan,26,Allegan County,5,30402,1,15000US260050304021,"Block Group 1, Census Tract 304.02, Allegan County, Michigan",2147,33,2085,0,0,0,29,2026,121
G26000500304022,2016-2020,MI,Michigan,26,Allegan County,5,30402,2,15000US260050304022,"Block Group 2, Census Tract 304.02, Allegan County, Michigan",2571,0,2272,162,0,0,137,2446,125
G26000500304023,2016-2020,MI,Michigan,26,Allegan County,5,30402,3,15000US260050304023,"Block Group 3, Census Tract 304.02, Allegan County, Michigan",801,0,780,19,0,2,0,791,10
G26000500304031,2016-2020,MI,Michigan,26,Allegan County,5,30403,1,15000US260050304031,"Block Group 1, Census Tract 304.03, Allegan County, Michigan",2824,0,2824,0,0,0,0,2794,30
G26000500304032,2016-2020,MI,Michigan,26,Allegan County,5,30403,2,15000US260050304032,"Block Group 2, Census Tract 304.03, Allegan County, Michigan",1762,0,1709,0,0,0,53,1762,0
G26000500304041,2016-2020,MI,Michigan,26,Allegan County,5,30404,1,15000US260050304041,"Block Group 1, Census Tract 304.04, Allegan County, Michigan",1701,25,1607,14,0,30,25,1701,0
G26000500304042,2016-2020,MI,Michigan,26,Allegan County,5,30404,2,15000US260050304042,"Block Group 2, Census Tract 304.04, Allegan County, Michigan",1543,0,1543,0,0,0,0,1543,0
G26000500305011,2016-2020,MI,Michigan,26,Allegan County,5,30501,1,15000US260050305011,"Block Group 1, Census Tract 305.01, Allegan County, Michigan",1772,0,1602,35,0,15,100,1749,23
G26000500305012,2016-2020,MI,Michigan,26,Allegan County,5,30501,2,15000US260050305012,"Block Group 2, Census Tract 305.01, Allegan County, Michigan",1377,6,1056,6,0,44,265,1200,177
G26000500305021,2016-2020,MI,Michigan,26,Allegan County,5,30502,1,15000US260050305021,"Block Group 1, Census Tract 305.02, Allegan County, Michigan",1831,49,1700,0,0,0,82,1767,64
G26000500305022,2016-2020,MI,Michigan,26,Allegan County,5,30502,2,15000US260050305022,"Block Group 2, Census Tract 305.02, Allegan County, Michigan",2964,38,2850,0,0,0,76,2912,52
G26000500306001,2016-2020,MI,Michigan,26,Allegan County,5,30600,1,15000US260050306001,"Block Group 1, Census Tract 306, Allegan County, Michigan",2252,15,2076,0,0,17,134,2042,210
G26000500306002,2016-2020,MI,Michigan,26,Allegan County,5,30600,2,15000US260050306002,"Block Group 2, Census Tract 306, Allegan County, Michigan",1987,45,1824,0,0,14,99,1976,11
G26000500306003,2016-2020,MI,Michigan,26,Allegan County,5,30600,3,15000US260050306003,"Block Group 3, Census Tract 306, Allegan County, Michigan",1007,0,1007,0,0,0,0,1007,0
G26000500307021,2016-2020,MI,Michigan,26,Allegan County,5,30702,1,15000US260050307021,"Block Group 1, Census Tract 307.02, Allegan County, Michigan",1675,10,1582,13,0,3,61,1635,40
G26000500307022,2016-2020,MI,Michigan,26,Allegan County,5,30702,2,15000US260050307022,"Block Group 2, Census Tract 307.02, Allegan County, Michigan",1686,0,1677,0,0,0,9,1673,13
G26000500307023,2016-2020,MI,Michigan,26,Allegan County,5,30702,3,15000US260050307023,"Block Group 3, Census Tract 307.02, Allegan County, Michigan",1406,14,1315,0,0,0,77,1340,66
G26000500307031,2016-2020,MI,Michigan,26,Allegan County,5,30703,1,15000US260050307031,"Block Group 1, Census Tract 307.03, Allegan County, Michigan",1912,5,1719,11,0,0,164,1200,712
G26000500307032,2016-2020,MI,Michigan,26,Allegan County,5,30703,2,15000US260050307032,"Block Group 2, Census Tract 307.03, Allegan County, Michigan",1341,18,1156,0,0,0,17,1023,318
G26000500307041,2016-2020,MI,Michigan,26,Allegan County,5,30704,1,15000US260050307041,"Block Group 1, Census Tract 307.04, Allegan County, Michigan",2313,0,2272,0,0,0,32,2116,197
G26000500307042,2016-2020,MI,Michigan,26,Allegan County,5,30704,2,15000US260050307042,"Block Group 2, Census Tract 307.04, Allegan County, Michigan",1456,11,1285,0,0,0,50,840,616
G26000500307043,2016-2020,MI,Michigan,26,Allegan County,5,30704,3,15000US260050307043,"Block Group 3, Census Tract 307.04, Allegan County, Michigan",1122,9,998,0,0,0,58,998,124
G26000500308011,2016-2020,MI,Michigan,26,Allegan County,5,30801,1,15000US260050308011,"Block Group 1, Census Tract 308.01, Allegan County, Michigan",765,0,744,0,0,4,17,751,14
G26000500308012,2016-2020,MI,Michigan,26,Allegan County,5,30801,2,15000US260050308012,"Block Group 2, Census Tract 308.01, Allegan County, Michigan",1374,0,1296,0,0,30,5,1247,127
G26000500308021,2016-2020,MI,Michigan,26,Allegan County,5,30802,1,15000US260050308021,"Block Group 1, Census Tract 308.02, Allegan County, Michigan",1681,0,1647,16,0,0,18,1625,56
G26000500308022,2016-2020,MI,Michigan,26,Allegan County,5,30802,2,15000US260050308022,"Block Group 2, Census Tract 308.02, Allegan County, Michigan",378,0,352,1,0,0,25,374,4
G26000500308023,2016-2020,MI,Michigan,26,Allegan County,5,30802,3,15000US260050308023,"Block Group 3, Census Tract 308.02, Allegan County, Michigan",1106,19,1052,13,0,21,1,1003,103
G26000500309011,2016-2020,MI,Michigan,26,Allegan County,5,30901,1,15000US260050309011,"Block Group 1, Census Tract 309.01, Allegan County, Michigan",1115,0,1095,0,0,0,20,877,238
G26000500309012,2016-2020,MI,Michigan,26,Allegan County,5,30901,2,15000US260050309012,"Block Group 2, Census Tract 309.01, Allegan County, Michigan",1026,0,990,0,0,0,27,994,32
G26000500309013,2016-2020,MI,Michigan,26,Allegan County,5,30901,3,15000US260050309013,"Block Group 3, Census Tract 309.01, Allegan County, Michigan",913,61,832,4,0,0,16,827,86
G26000500309021,2016-2020,MI,Michigan,26,Allegan County,5,30902,1,15000US260050309021,"Block Group 1, Census Tract 309.02, Allegan County, Michigan",1092,8,959,15,0,1,56,860,232
G26000500309022,2016-2020,MI,Michigan,26,Allegan County,5,30902,2,15000US260050309022,"Block Group 2, Census Tract 309.02, Allegan County, Michigan",803,6,738,0,0,0,59,753,50
G26000500309023,2016-2020,MI,Michigan,26,Allegan County,5,30902,3,15000US260050309023,"Block Group 3, Census Tract 309.02, Allegan County, Michigan",755,0,698,18,0,0,39,564,191
G26000500310011,2016-2020,MI,Michigan,26,Allegan County,5,31001,1,15000US260050310011,"Block Group 1, Census Tract 310.01, Allegan County, Michigan",1534,0,1087,0,0,4,32,682,852
G26000500310012,2016-2020,MI,Michigan,26,Allegan County,5,31001,2,15000US260050310012,"Block Group 2, Census Tract 310.01, Allegan County, Michigan",1508,0,1384,0,0,0,0,774,734
G26000500310021,2016-2020,MI,Michigan,26,Allegan County,5,31002,1,15000US260050310021,"Block Group 1, Census Tract 310.02, Allegan County, Michigan",1494,26,1198,0,0,0,270,1460,34
G26000500310022,2016-2020,MI,Michigan,26,Allegan County,5,31002,2,15000US260050310022,"Block Group 2, Census Tract 310.02, Allegan County, Michigan",825,18,759,0,0,0,48,819,6
G26000500310023,2016-2020,MI,Michigan,26,Allegan County,5,31002,3,15000US260050310023,"Block Group 3, Census Tract 310.02, Allegan County, Michigan",978,26,914,0,0,0,33,933,45
G26000500311011,2016-2020,MI,Michigan,26,Allegan County,5,31101,1,15000US260050311011,"Block Group 1, Census Tract 311.01, Allegan County, Michigan",964,4,960,0,0,0,0,870,94
G26000500311012,2016-2020,MI,Michigan,26,Allegan County,5,31101,2,15000US260050311012,"Block Group 2, Census Tract 311.01, Allegan County, Michigan",1745,0,1526,9,0,21,189,1687,58
G26000500311013,2016-2020,MI,Michigan,26,Allegan County,5,31101,3,15000US260050311013,"Block Group 3, Census Tract 311.01, Allegan County, Michigan",921,31,710,35,0,0,145,897,24
G26000500311021,2016-2020,MI,Michigan,26,Allegan County,5,31102,1,15000US260050311021,"Block Group 1, Census Tract 311.02, Allegan County, Michigan",517,0,511,0,0,0,6,517,0
G26000500311022,2016-2020,MI,Michigan,26,Allegan County,5,31102,2,15000US260050311022,"Block Group 2, Census Tract 311.02, Allegan County, Michigan",1308,40,1203,1,0,0,64,1305,3
G26000500311023,2016-2020,MI,Michigan,26,Allegan County,5,31102,3,15000US260050311023,"Block Group 3, Census Tract 311.02, Allegan County, Michigan",1208,21,1185,0,0,0,2,1197,11
G26000500312001,2016-2020,MI,Michigan,26,Allegan County,5,31200,1,15000US260050312001,"Block Group 1, Census Tract 312, Allegan County, Michigan",1892,212,1593,0,0,3,84,1882,10
G26000500312002,2016-2020,MI,Michigan,26,Allegan County,5,31200,2,15000US260050312002,"Block Group 2, Census Tract 312, Allegan County, Michigan",1392,37,1339,0,0,0,16,1315,77
G26000500312003,2016-2020,MI,Michigan,26,Allegan County,5,31200,3,15000US260050312003,"Block Group 3, Census Tract 312, Allegan County, Michigan",1589,0,1321,97,0,17,96,1444,145
G26000500312004,2016-2020,MI,Michigan,26,Allegan County,5,31200,4,15000US260050312004,"Block Group 4, Census Tract 312, Allegan County, Michigan",665,57,583,0,0,0,25,640,25
G26000500313001,2016-2020,MI,Michigan,26,Allegan County,5,31300,1,15000US260050313001,"Block Group 1, Census Tract 313, Allegan County, Michigan",1148,9,1085,40,0,4,10,1145,3
G26000500313002,2016-2020,MI,Michigan,26,Allegan County,5,31300,2,15000US260050313002,"Block Group 2, Census Tract 313, Allegan County, Michigan",2178,13,2101,10,0,0,46,2144,34
G26000500313003,2016-2020,MI,Michigan,26,Allegan County,5,31300,3,15000US260050313003,"Block Group 3, Census Tract 313, Allegan County, Michigan",1422,18,1398,0,0,0,6,1404,18
G26000500318001,2016-2020,MI,Michigan,26,Allegan County,5,31800,1,15000US260050318001,"Block Group 1, Census Tract 318, Allegan County, Michigan",1286,33,1172,0,0,0,81,1212,74
G26000500318002,2016-2020,MI,Michigan,26,Allegan County,5,31800,2,15000US260050318002,"Block Group 2, Census Tract 318, Allegan County, Michigan",1513,0,1513,0,0,0,0,1480,33
G26000500318003,2016-2020,MI,Michigan,26,Allegan County,5,31800,3,15000US260050318003,"Block Group 3, Census Tract 318, Allegan County, Michigan",1589,11,1156,0,0,13,409,1564,25
G26000500318004,2016-2020,MI,Michigan,26,Allegan County,5,31800,4,15000US260050318004,"Block Group 4, Census Tract 318, Allegan County, Michigan",684,0,667,0,0,0,17,684,0
G26000500319001,2016-2020,MI,Michigan,26,Allegan County,5,31900,1,15000US260050319001,"Block Group 1, Census Tract 319, Allegan County, Michigan",781,23,739,0,0,0,19,781,0
G26000500319002,2016-2020,MI,Michigan,26,Allegan County,5,31900,2,15000US260050319002,"Block Group 2, Census Tract 319, Allegan County, Michigan",1070,0,741,0,0,0,0,1070,0
G26000500319003,2016-2020,MI,Michigan,26,Allegan County,5,31900,3,15000US260050319003,"Block Group 3, Census Tract 319, Allegan County, Michigan",1834,0,1535,53,0,0,246,1701,133
G26000500319004,2016-2020,MI,Michigan,26,Allegan County,5,31900,4,15000US260050319004,"Block Group 4, Census Tract 319, Allegan County, Michigan",1132,0,1082,35,0,0,15,1132,0
G26000500320001,2016-2020,MI,Michigan,26,Allegan County,5,32000,1,15000US260050320001,"Block Group 1, Census Tract 320, Allegan County, Michigan",1338,0,1338,0,0,0,0,1338,0
G26000500320002,2016-2020,MI,Michigan,26,Allegan County,5,32000,2,15000US260050320002,"Block Group 2, Census Tract 320, Allegan County, Michigan",1881,0,1827,0,0,0,23,1771,110
G26000500320003,2016-2020,MI,Michigan,26,Allegan County,5,32000,3,15000US260050320003,"Block Group 3, Census Tract 320, Allegan County, Michigan",998,0,928,0,0,0,70,840,158
G26000500320004,2016-2020,MI,Michigan,26,Allegan County,5,32000,4,15000US260050320004,"Block Group 4, Census Tract 320, Allegan County, Michigan",831,13,818,0,0,0,0,804,27
G26000500321001,2016-2020,MI,Michigan,26,Allegan County,5,32100,1,15000US260050321001,"Block Group 1, Census Tract 321, Allegan County, Michigan",1558,29,1448,0,0,0,81,1511,47
G26000500321002,2016-2020,MI,Michigan,26,Allegan County,5,32100,2,15000US260050321002,"Block Group 2, Census Tract 321, Allegan County, Michigan",788,0,728,0,0,6,49,777,11
G26000500321003,2016-2020,MI,Michigan,26,Allegan County,5,32100,3,15000US260050321003,"Block Group 3, Census Tract 321, Allegan County, Michigan",1480,0,1375,0,0,88,17,1446,34
G26000500321004,2016-2020,MI,Michigan,26,Allegan County,5,32100,4,15000US260050321004,"Block Group 4, Census Tract 321, Allegan County, Michigan",942,0,906,0,0,4,32,942,0
G26000500322001,2016-2020,MI,Michigan,26,Allegan County,5,32200,1,15000US260050322001,"Block Group 1, Census Tract 322, Allegan County, Michigan",1611,43,1533,0,0,0,30,1462,149
G26000500322002,2016-2020,MI,Michigan,26,Allegan County,5,32200,2,15000US260050322002,"Block Group 2, Census Tract 322, Allegan County, Michigan",1067,167,890,0,0,0,10,995,72
G26000500322003,2016-2020,MI,Michigan,26,Allegan County,5,32200,3,15000US260050322003,"Block Group 3, Census Tract 322, Allegan County, Michigan",1580,78,1415,0,0,0,76,1341,239
G26000500322004,2016-2020,MI,Michigan,26,Allegan County,5,32200,4,15000US260050322004,"Block Group 4, Census Tract 322, Allegan County, Michigan",924,0,856,0,0,0,0,840,84
G26000500324011,2016-2020,MI,Michigan,26,Allegan County,5,32401,1,15000US260050324011,"Block Group 1, Census Tract 324.01, Allegan County, Michigan",1569,67,1051,51,0,9,163,801,768
G26000500324021,2016-2020,MI,Michigan,26,Allegan County,5,32402,1,15000US260050324021,"Block Group 1, Census Tract 324.02, Allegan County, Michigan",1317,0,1227,0,0,41,42,1238,79
G26000500324022,2016-2020,MI,Michigan,26,Allegan County,5,32402,2,15000US260050324022,"Block Group 2, Census Tract 324.02, Allegan County, Michigan",1593,5,1544,0,0,1,37,1547,46
G26000500324023,2016-2020,MI,Michigan,26,Allegan County,5,32402,3,15000US260050324023,"Block Group 3, Census Tract 324.02, Allegan County, Michigan",1367,12,1216,38,0,45,14,1313,54
G26000500326001,2016-2020,MI,Michigan,26,Allegan County,5,32600,1,15000US260050326001,"Block Group 1, Census Tract 326, Allegan County, Michigan",1486,43,1303,17,0,0,68,1361,125
G26000509900000,2016-2020,MI,Michigan,26,Allegan County,5,990000,0,15000US260059900000,"Block Group 0, Census Tract 9900, Allegan County, Michigan",0,0,0,0,0,0,0,0,0
G26000700001011,2016-2020,MI,Michigan,26,Alpena County,7,101,1,15000US260070001011,"Block Group 1, Census Tract 1.01, Alpena County, Michigan",547,0,544,0,0,0,3,547,0
G26000700001012,2016-2020,MI,Michigan,26,Alpena County,7,101,2,15000US260070001012,"Block Group 2, Census Tract 1.01, Alpena County, Michigan",695,0,691,0,0,0,0,691,4
G26000700001021,2016-2020,MI,Michigan,26,Alpena County,7,102,1,15000US260070001021,"Block Group 1, Census Tract 1.02, Alpena County, Michigan",500,0,494,0,0,0,6,497,3
G26000700001022,2016-2020,MI,Michigan,26,Alpena County,7,102,2,15000US260070001022,"Block Group 2, Census Tract 1.02, Alpena County, Michigan",606,3,598,0,0,0,3,603,3
G26000700001023,2016-2020,MI,Michigan,26,Alpena County,7,102,3,15000US260070001023,"Block Group 3, Census Tract 1.02, Alpena County, Michigan",1220,0,1175,8,0,0,37,1220,0
G26000700001024,2016-2020,MI,Michigan,26,Alpena County,7,102,4,15000US260070001024,"Block Group 4, Census Tract 1.02, Alpena County, Michigan",1072,1,1011,0,0,0,58,1063,9
G26000700002001,2016-2020,MI,Michigan,26,Alpena County,7,200,1,15000US260070002001,"Block Group 1, Census Tract 2, Alpena County, Michigan",1004,4,856,6,0,16,44,997,7
G26000700002002,2016-2020,MI,Michigan,26,Alpena County,7,200,2,15000US260070002002,"Block Group 2, Census Tract 2, Alpena County, Michigan",577,0,570,0,0,4,3,575,2
G26000700002003,2016-2020,MI,Michigan,26,Alpena County,7,200,3,15000US260070002003,"Block Group 3, Census Tract 2, Alpena County, Michigan",917,0,913,0,0,0,4,905,12
G26000700002004,2016-2020,MI,Michigan,26,Alpena County,7,200,4,15000US260070002004,"Block Group 4, Census Tract 2, Alpena County, Michigan",642,0,642,0,0,0,0,642,0
G26000700002005,2016-2020,MI,Michigan,26,Alpena County,7,200,5,15000US260070002005,"Block Group 5, Census Tract 2, Alpena County, Michigan",872,0,825,14,0,33,0,872,0
G26000700003001,2016-2020,MI,Michigan,26,Alpena County,7,300,1,15000US260070003001,"Block Group 1, Census Tract 3, Alpena County, Michigan",852,0,852,0,0,0,0,852,0
G26000700003002,2016-2020,MI,Michigan,26,Alpena County,7,300,2,15000US260070003002,"Block Group 2, Census Tract 3, Alpena County, Michigan",731,0,706,0,0,0,25,731,0
G26000700003003,2016-2020,MI,Michigan,26,Alpena County,7,300,3,15000US260070003003,"Block Group 3, Census Tract 3, Alpena County, Michigan",948,4,924,0,0,0,4,931,17
G26000700003004,2016-2020,MI,Michigan,26,Alpena County,7,300,4,15000US260070003004,"Block Group 4, Census Tract 3, Alpena County, Michigan",836,26,791,8,0,4,7,836,0
G26000700004001,2016-2020,MI,Michigan,26,Alpena County,7,400,1,15000US260070004001,"Block Group 1, Census Tract 4, Alpena County, Michigan",569,0,569,0,0,0,0,569,0
G26000700004002,2016-2020,MI,Michigan,26,Alpena County,7,400,2,15000US260070004002,"Block Group 2, Census Tract 4, Alpena County, Michigan",959,58,822,0,0,9,70,896,63
G26000700004003,2016-2020,MI,Michigan,26,Alpena County,7,400,3,15000US260070004003,"Block Group 3, Census Tract 4, Alpena County, Michigan",733,13,720,0,0,0,0,719,14
G26000700004004,2016-2020,MI,Michigan,26,Alpena County,7,400,4,15000US260070004004,"Block Group 4, Census Tract 4, Alpena County, Michigan",599,0,599,0,0,0,0,599,0
G26000700005001,2016-2020,MI,Michigan,26,Alpena County,7,500,1,15000US260070005001,"Block Group 1, Census Tract 5, Alpena County, Michigan",753,0,653,0,0,0,100,650,103
G26000700005002,2016-2020,MI,Michigan,26,Alpena County,7,500,2,15000US260070005002,"Block Group 2, Census Tract 5, Alpena County, Michigan",523,8,481,0,0,8,26,520,3
G26000700005003,2016-2020,MI,Michigan,26,Alpena County,7,500,3,15000US260070005003,"Block Group 3, Census Tract 5, Alpena County, Michigan",507,1,495,5,0,0,6,507,0
G26000700006001,2016-2020,MI,Michigan,26,Alpena County,7,600,1,15000US260070006001,"Block Group 1, Census Tract 6, Alpena County, Michigan",1257,0,1239,0,4,0,14,1248,9
G26000700006002,2016-2020,MI,Michigan,26,Alpena County,7,600,2,15000US260070006002,"Block Group 2, Census Tract 6, Alpena County, Michigan",1738,16,1640,75,0,7,0,1724,14
G26000700007001,2016-2020,MI,Michigan,26,Alpena County,7,700,1,15000US260070007001,"Block Group 1, Census Tract 7, Alpena County, Michigan",1156,1,1079,12,0,0,64,1144,12
G26000700007002,2016-2020,MI,Michigan,26,Alpena County,7,700,2,15000US260070007002,"Block Group 2, Census Tract 7, Alpena County, Michigan",1196,2,1148,0,0,15,31,1172,24
G26000700007003,2016-2020,MI,Michigan,26,Alpena County,7,700,3,15000US260070007003,"Block Group 3, Census Tract 7, Alpena County, Michigan",669,6,662,1,0,0,0,669,0
G26000700008001,2016-2020,MI,Michigan,26,Alpena County,7,800,1,15000US260070008001,"Block Group 1, Census Tract 8, Alpena County, Michigan",924,1,899,0,0,0,24,898,26
G26000700008002,2016-2020,MI,Michigan,26,Alpena County,7,800,2,15000US260070008002,"Block Group 2, Census Tract 8, Alpena County, Michigan",873,0,862,0,0,0,0,819,54
G26000700008003,2016-2020,MI,Michigan,26,Alpena County,7,800,3,15000US260070008003,"Block Group 3, Census Tract 8, Alpena County, Michigan",816,0,810,0,0,0,6,798,18
G26000700008004,2016-2020,MI,Michigan,26,Alpena County,7,800,4,15000US260070008004,"Block Group 4, Census Tract 8, Alpena County, Michigan",628,0,613,0,0,0,15,617,11
G26000700009001,2016-2020,MI,Michigan,26,Alpena County,7,900,1,15000US260070009001,"Block Group 1, Census Tract 9, Alpena County, Michigan",510,7,489,0,0,0,14,509,1
G26000700009002,2016-2020,MI,Michigan,26,Alpena County,7,900,2,15000US260070009002,"Block Group 2, Census Tract 9, Alpena County, Michigan",1261,0,1254,7,0,0,0,1261,0
G26000700009003,2016-2020,MI,Michigan,26,Alpena County,7,900,3,15000US260070009003,"Block Group 3, Census Tract 9, Alpena County, Michigan",741,14,682,6,28,0,11,739,2
G26000709900000,2016-2020,MI,Michigan,26,Alpena County,7,990000,0,15000US260079900000,"Block Group 0, Census Tract 9900, Alpena County, Michigan",0,0,0,0,0,0,0,0,0
G26000909601001,2016-2020,MI,Michigan,26,Antrim County,9,960100,1,15000US260099601001,"Block Group 1, Census Tract 9601, Antrim County, Michigan",577,9,560,3,0,0,5,577,0
G26000909601002,2016-2020,MI,Michigan,26,Antrim County,9,960100,2,15000US260099601002,"Block Group 2, Census Tract 9601, Antrim County, Michigan",678,0,624,6,0,17,31,673,5
G26000909601003,2016-2020,MI,Michigan,26,Antrim County,9,960100,3,15000US260099601003,"Block Group 3, Census Tract 9601, Antrim County, Michigan",548,0,547,0,0,0,1,519,29
G26000909601004,2016-2020,MI,Michigan,26,Antrim County,9,960100,4,15000US260099601004,"Block Group 4, Census Tract 9601, Antrim County, Michigan",995,0,992,0,0,3,0,988,7
G26000909602001,2016-2020,MI,Michigan,26,Antrim County,9,960200,1,15000US260099602001,"Block Group 1, Census Tract 9602, Antrim County, Michigan",1372,0,1337,16,0,19,0,1367,5
G26000909602002,2016-2020,MI,Michigan,26,Antrim County,9,960200,2,15000US260099602002,"Block Group 2, Census Tract 9602, Antrim County, Michigan",761,0,738,0,0,0,23,738,23
G26000909602003,2016-2020,MI,Michigan,26,Antrim County,9,960200,3,15000US260099602003,"Block Group 3, Census Tract 9602, Antrim County, Michigan",839,0,797,19,0,0,16,821,18
G26000909603001,2016-2020,MI,Michigan,26,Antrim County,9,960300,1,15000US260099603001,"Block Group 1, Census Tract 9603, Antrim County, Michigan",927,1,920,0,0,0,6,927,0
G26000909603002,2016-2020,MI,Michigan,26,Antrim County,9,960300,2,15000US260099603002,"Block Group 2, Census Tract 9603, Antrim County, Michigan",816,0,777,8,0,17,7,809,7
G26000909603003,2016-2020,MI,Michigan,26,Antrim County,9,960300,3,15000US260099603003,"Block Group 3, Census Tract 9603, Antrim County, Michigan",611,0,611,0,0,0,0,611,0
G26000909603004,2016-2020,MI,Michigan,26,Antrim County,9,960300,4,15000US260099603004,"Block Group 4, Census Tract 9603, Antrim County, Michigan",485,0,485,0,0,0,0,485,0
G26000909604011,2016-2020,MI,Michigan,26,Antrim County,9,960401,1,15000US260099604011,"Block Group 1, Census Tract 9604.01, Antrim County, Michigan",505,9,491,0,0,0,5,450,55
G26000909604012,2016-2020,MI,Michigan,26,Antrim County,9,960401,2,15000US260099604012,"Block Group 2, Census Tract 9604.01, Antrim County, Michigan",374,0,360,0,0,0,14,374,0
